avg_brightness,contrast,sharpness,category
0.5979125,0.16839205,0.03697632,hotdog
0.46694842,0.21124847,0.058082886,hotdog
0.43380094,0.26567185,0.0599834,hotdog
0.46328774,0.3184919,0.070517205,hotdog
0.53383523,0.279217,0.07640469,hotdog
0.5106059,0.25055134,0.07680626,hotdog
0.44996288,0.19863106,0.06259667,hotdog
0.43183675,0.20182697,0.060562536,hotdog
0.43889093,0.21951291,0.06755063,hotdog
0.43735862,0.22921541,0.07407553,hotdog
0.54853106,0.27175206,0.068383105,hotdog
0.38734484,0.22592434,0.055068076,hotdog
0.44185543,0.24056678,0.023526208,hotdog
0.5350153,0.20173563,0.053780273,hotdog
0.40029016,0.21930261,0.03509608,hotdog
0.31888732,0.18634775,0.035255354,hotdog
0.53020054,0.2678583,0.073185414,hotdog
0.5757182,0.22642252,0.048042543,hotdog
0.50832057,0.2911038,0.062850766,hotdog
0.1775492,0.23590137,0.03146805,hotdog
0.4091208,0.20023525,0.060998872,hotdog
0.51200145,0.29296806,0.06964225,hotdog
0.3785052,0.19055773,0.0327889,hotdog
0.35966584,0.25313577,0.06204476,hotdog
0.4203302,0.18362452,0.044092637,hotdog
0.4981912,0.3356656,0.05428269,hotdog
0.4052333,0.22124286,0.054018825,hotdog
0.25819138,0.24013415,0.053257164,hotdog
0.33762524,0.17484897,0.03308014,hotdog
0.37004492,0.29338005,0.07668697,hotdog
0.5652082,0.29983917,0.047262337,hotdog
0.40709078,0.20590019,0.04404557,hotdog
0.4494891,0.20995829,0.0466934,hotdog
0.3185215,0.26894972,0.045420155,hotdog
0.8059978,0.25151187,0.033978753,hotdog
0.29415295,0.2800709,0.099043325,hotdog
0.49732342,0.27430072,0.04788219,hotdog
0.5166334,0.2668776,0.050992936,hotdog
0.5447598,0.252567,0.046842247,hotdog
0.47646502,0.21352777,0.05120701,hotdog
0.52099127,0.26276895,0.07085963,hotdog
0.52682686,0.2290354,0.06808256,hotdog
0.34411177,0.2372123,0.029390382,hotdog
0.37716818,0.27760023,0.05273726,hotdog
0.44954416,0.18911418,0.06237146,hotdog
0.3371022,0.259203,0.0838475,hotdog
0.48455212,0.2200205,0.05218704,hotdog
0.36772642,0.18151678,0.0404914,hotdog
0.5748134,0.2531996,0.045716587,hotdog
0.45139608,0.28660774,0.098488905,hotdog
0.52597755,0.28422654,0.055424105,hotdog
0.7276335,0.2589769,0.054050803,hotdog
0.32426146,0.27417412,0.057231445,hotdog
0.4086461,0.24412253,0.03244976,hotdog
0.35789302,0.23725876,0.06360153,hotdog
0.30516365,0.23287196,0.052741572,hotdog
0.49446285,0.2730409,0.07131668,hotdog
0.45867717,0.25982708,0.042582516,hotdog
0.5215218,0.19469509,0.05680773,hotdog
0.38908198,0.29492593,0.052556254,hotdog
0.43657994,0.30064756,0.114548326,hotdog
0.4012836,0.2866874,0.057887033,hotdog
0.48469314,0.15964796,0.03063009,hotdog
0.4954106,0.28099138,0.043370042,hotdog
0.44259307,0.16493459,0.03257066,hotdog
0.46739975,0.27824974,0.051728867,hotdog
0.31295604,0.26551327,0.038003363,hotdog
0.58301806,0.24614687,0.07906622,hotdog
0.4525175,0.17377558,0.019083103,hotdog
0.47043875,0.21432342,0.03213016,hotdog
0.39562145,0.2029853,0.0361211,hotdog
0.6018853,0.18721806,0.034292445,hotdog
0.29062462,0.2179385,0.050235976,hotdog
0.319254,0.26010376,0.080244616,hotdog
0.61002094,0.33336347,0.08963976,hotdog
0.38745508,0.27171013,0.056531474,hotdog
0.14792138,0.11424002,0.02465678,hotdog
0.65828764,0.24519943,0.06990343,hotdog
0.43221095,0.2297788,0.052958757,hotdog
0.5507304,0.28438386,0.06511172,hotdog
0.57424855,0.265129,0.07832645,hotdog
0.49984598,0.22341399,0.056775954,hotdog
0.56148714,0.33694124,0.06672147,hotdog
